,date,description,emphasizedKeywords,position,searchQuery/countryCode,searchQuery/device,searchQuery/domain,searchQuery/languageCode,searchQuery/locationUule,searchQuery/page,searchQuery/resultsPerPage,searchQuery/term,searchQuery/type,title,type,url
44,,"Center of Analysis of Social Exclusion, Report 5, London School of Economics,. 17-21, Londres. Hobcraft, J. (1999). Intergenerational and life-course ...",Analysis,45,US,DESKTOP,google.com,,,6,10,analisis de pobreza en colombia,SEARCH,POBREZA Y PRIMERA INFANCIA EN COLOMBIA - De Cero a ...,organic,http://www.deceroasiempre.gov.co/Prensa/CDocumentacionDocs/Bolet%C3%ADn%20No.%201%20Pobreza%20y%20primera%20infancia%20en%20Colombia.pdf
45,2022-04-28T12:00:00.000Z,"El índice de pobreza multidimensional se ubicó en 16% en el año 2021, lo que representó una mejora en el indicador frente al primer año de ...",pobreza,46,US,DESKTOP,google.com,,,6,10,analisis de pobreza en colombia,SEARCH,Otra medición del Dane confirma reducción de la pobreza en ...,organic,https://www.elpais.com.co/economia/la-pobreza-multidimensional-en-2021-fue-del-16-la-menor-tasa-en-10-anos-segun-el-dane.html
46,,"Además explica que la Colombia rural se volvió más inequitativa y la tasa de pobreza en el campo colombiano es 14 puntos porcentuales superior a la urbana, lo ...",Colombia | pobreza | colombiano,47,US,DESKTOP,google.com,,,6,10,analisis de pobreza en colombia,SEARCH,VIDEO: Análisis de los resultados de pobreza en Cartagena,organic,https://www.cartagenacomovamos.org/nuevo/analisis-de-los-resultados-de-pobreza-en-cartagena/
47,,by N Márquez Mejía · 2022 — Un análisis de la gestión de los recursos. Márquez Mejía Norwin ... Tabla 3 Índice de Pobreza Multidimensional en Colombia. Condiciones.,análisis | Pobreza | Colombia,48,US,DESKTOP,google.com,,,6,10,analisis de pobreza en colombia,SEARCH,1 Condiciones de pobreza en el departamento del Chocó,organic,https://repository.libertadores.edu.co/bitstream/handle/11371/4272/Mej%C3%ADa_Norwin_2020.pdf?sequence=5&isAllowed=y
48,,El presente análisis pretende mostrar e informar a las Fundaciones AFE los principales hallazgos del boletín técnico elaborado en 2 de Marzo de 2016 por el ...,análisis,49,US,DESKTOP,google.com,,,6,10,analisis de pobreza en colombia,SEARCH,Análisis de reporte sobre pobreza en Colombia con base en ...,organic,https://afecolombia.org/bibliotecas/analisis-de-reporte/
49,2021-05-12T12:00:00.000Z,"Para el año 2020, un individuo es pobre en Colombia si su ingreso mensual es menor a 338.000 pesos (con ajustes dependiendo de la ciudad ...",pobre en Colombia,50,US,DESKTOP,google.com,,,6,10,analisis de pobreza en colombia,SEARCH,Conoce las 31 preguntas (y respuestas) sobre la pobreza y ...,organic,https://www.urosario.edu.co/Periodico-NovaEtVetera/Nuestra-U/Conoce-las-31-preguntas-y-respuestas-sobre-la-pobr/
50,,"by IE Cañas · 2013 · Cited by 1 — Los resultados muestran que Santander se enfrenta a grandes desafíos en sus esfuerzos contra la pobreza. De hecho, se observan niveles ...",pobreza,51,US,DESKTOP,google.com,,,6,10,analisis de pobreza en colombia,SEARCH,"Análisis integrado de la pobreza en Santander, Colombia ...",organic,http://revistas.ustabuca.edu.co/index.php/LEBRET/article/view/828
51,,"by SM Peláez Thompson · 2018 · Cited by 2 — Al hablar de pobreza acudimos al análisis de diversas variables, cuyos análisis ... departamento con más pobreza en Colombia, alcanzando el 65,9% de pobreza.",pobreza | análisis | análisis | pobreza en Colombia | pobreza,52,US,DESKTOP,google.com,,,7,10,analisis de pobreza en colombia,SEARCH,evolución y causas de la pobreza en el departamento del,organic,https://repository.uamerica.edu.co/bitstream/20.500.11839/6629/1/2131088-2018-1-EF.pdf
52,,"ciudadanos más pobres de Colombia de acuerdo con ciertos criterios, incluyendo salud, vivienda, educación y niveles de vulnerabilidad.",pobres | Colombia,53,US,DESKTOP,google.com,,,7,10,analisis de pobreza en colombia,SEARCH,Dos estudios de caso y análisis de síntesis - Ford Foundation,organic,https://www.fordfoundation.org/media/3171/pdf2-spanish-final-24-oct-14h30.pdf
53,,by N Alvis-Guzmán · 2008 · Cited by 10 — Se asume la primera como escasez de ingresos monetarios para cubrir necesidades básicas alimentarias y no alimentarias de los hogares y la segunda como el ...,,54,US,DESKTOP,google.com,,,7,10,analisis de pobreza en colombia,SEARCH,Pobreza y vulnerabilidad social en Colombia - Revistas ...,organic,https://revistas.unicartagena.edu.co/index.php/panoramaeconomico/article/view/386
54,2021-05-12T12:00:00.000Z,"Para el año 2020, un individuo es pobre en Colombia si su ingreso mensual es menor a 338.000 pesos (con ajustes dependiendo de la ciudad ...",pobre en Colombia,55,US,DESKTOP,google.com,,,7,10,analisis de pobreza en colombia,SEARCH,Conoce las 31 preguntas (y respuestas) sobre la pobreza y ...,organic,https://www.urosario.edu.co/Periodico-NovaEtVetera/Nuestra-U/Conoce-las-31-preguntas-y-respuestas-sobre-la-pobr/
55,,Indice de Pobreza Multidimensional y sus aplicaciones en Colombia. ROBERTO ANGULO. YADIRA DÍAZ. RENATA PARDO. National Planning Department.,Pobreza | Colombia,56,US,DESKTOP,google.com,,,7,10,analisis de pobreza en colombia,SEARCH,Análisis dinámico de pobreza multidimensional por medio de ...,organic,https://www.inei.gob.pe/media/MenuRecursivo/boletines/ponencia10.pdf
56,2011-07-03T12:00:00.000Z,Colombia presenta grandes adelantos en la medición y lucha contra la pobreza; no sucede lo mismo con la desigualdad. El análisis de la ...,Colombia | pobreza | análisis,57,US,DESKTOP,google.com,,,7,10,analisis de pobreza en colombia,SEARCH,Pobreza y desigualdad : un balance de la información ...,organic,https://library.fes.de/pdf-files/bueros/kolumbien/08400.pdf
57,2015-07-02T12:00:00.000Z,"El DANE presentó las cifras de pobreza monetaria por departamentos , información complementaria a la obtenida en marzo cuando mostraron los ...",pobreza,58,US,DESKTOP,google.com,,,7,10,analisis de pobreza en colombia,SEARCH,Disparidades regionales en Colombia: el caso de la pobreza ...,organic,https://observatorio.desarrolloeconomico.gov.co/dinamica-economica/disparidades-regionales-en-colombia-el-caso-de-la-pobreza-monetaria-por
58,,Los aumentos en los niveles de desigualdad requieren un análisis importante de la composición de la población latinoamericana. La CEPAL proyecta que los ...,análisis,59,US,DESKTOP,google.com,,,7,10,analisis de pobreza en colombia,SEARCH,La pandemia de Covid-19 revela las deficiencias sociales de ...,organic,https://www.uexternado.edu.co/economia/senales-boletin-de-coyuntura-y-opinion/la-pandemia-de-covid-19-revela-las-deficiencias-sociales-de-america-latina-y-aumenta-los-niveles-de-pobreza/
59,,by N Márquez Mejía · 2022 — Un análisis de la gestión de los recursos. Márquez Mejía Norwin ... Tabla 3 Índice de Pobreza Multidimensional en Colombia. Condiciones.,análisis | Pobreza | Colombia,60,US,DESKTOP,google.com,,,7,10,analisis de pobreza en colombia,SEARCH,1 Condiciones de pobreza en el departamento del Chocó,organic,https://repository.libertadores.edu.co/bitstream/handle/11371/4272/Mej%C3%ADa_Norwin_2020.pdf?sequence=5&isAllowed=y
60,2020-11-20T12:00:00.000Z,"Desigualdad en mortalidad materna según quintil de pobreza, 2017 . ... departamentales en salud Colombia 201611, el Análisis de Situación de ...",pobreza | Colombia | Análisis,61,US,DESKTOP,google.com,,,7,10,analisis de pobreza en colombia,SEARCH,"Análisis de Situación de Salud (ASIS) Colombia, 2020 ...",organic,https://www.minsalud.gov.co/sites/rid/Lists/BibliotecaDigital/RIDE/VS/ED/PSP/asis-2020-colombia.pdf
61,,"1 En comparación, para el 2018, la tasa de pobreza de Colombia era aproximadamente 1.8 ... En la primera parte de este informe se realiza un análisis de las ...",pobreza | Colombia | análisis,62,US,DESKTOP,google.com,,,8,10,analisis de pobreza en colombia,SEARCH,EVALUACIÓN DE LA POBREZA EN BOGOTÁ - Veeduría ...,organic,https://www.veeduriadistrital.gov.co/sites/default/files/files/Publicaciones%202020/Informe%20Evolucion%20de%20la%20Pobreza%20en%20Bogota.pdf
62,,"de mercado laboral en Colombia y específicamente para Bogotá, ... estimación de la pobreza monetaria del país, por tal motivo, el siguiente análisis además ...",Colombia | pobreza | análisis,63,US,DESKTOP,google.com,,,8,10,analisis de pobreza en colombia,SEARCH,Claudia Nayibe López Hernández - Secretaría Distrital de ...,organic,http://www.sdp.gov.co/sites/default/files/cifrastomadesiciones-bandera_vf.pdf
63,,"ciudadanos más pobres de Colombia de acuerdo con ciertos criterios, incluyendo salud, vivienda, educación y niveles de vulnerabilidad.",pobres | Colombia,64,US,DESKTOP,google.com,,,8,10,analisis de pobreza en colombia,SEARCH,Dos estudios de caso y análisis de síntesis - Ford Foundation,organic,https://www.fordfoundation.org/media/3171/pdf2-spanish-final-24-oct-14h30.pdf
